Fecha,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1999-04-16,21.85096,21.85096,21.85096,21.85096,19.87496,21.85096,19.87496,19.87496,19.87496,19.87496,26.10196,26.10196,21.85096,19.87496,19.87496,19.87496,19.87496,19.87496,24.10196,26.10196,24.10196,26.10196,29.10196000000001,19.87496
1999-04-17,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,19.90196,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,19.90196,19.87396,19.87396,19.87396,19.90196,19.90196,26.10196,21.85096,21.85096,26.10196,21.85096
1999-04-18,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,19.90196,21.85096,21.85096,19.90196,19.90196,19.90196,21.85096,21.85096,21.85096,19.90196,19.90196,21.85096,21.85096,45.60196000000001,31.10196000000001,21.85096,21.85096,21.85096
1999-04-19,21.85096,21.85096,21.85096,21.85096,21.85096,26.10196,19.90196,19.90196,26.10196,26.10196,26.10196,31.10196000000001,26.10196,26.10196,26.10196,26.10196,21.85096,21.85096,26.10196,31.10196000000001,26.10196,21.85096,21.85096,21.85096
1999-04-20,21.85096,21.85096,21.85096,21.85096,20.10196,26.10196,19.90196,19.90196,21.85096,21.85096,26.10196,26.10196,26.10196,19.90196,26.10196,26.10196,26.10196,26.10196,26.10196,31.10196000000001,26.10196,19.90196,31.10196000000001,21.85096
1999-04-21,21.85096,21.85096,21.85096,21.85096,20.10196,26.10196,19.90196,19.90196,21.85096,19.90196,26.10196,29.10196000000001,26.10196,26.10196,26.10196,26.10196,26.10196,26.10196,29.10196000000001,37.10196000000001,29.10196000000001,44.90196000000001,40.60196000000001,26.10196
1999-04-22,21.85096,21.85096,21.85096,21.85096,26.10196,31.10196000000001,26.10196,26.10196,29.10196000000001,29.10196000000001,29.10196000000001,31.10196000000001,29.10196000000001,26.10196,26.10196,26.10196,26.10196,26.10196,31.10196000000001,54.00196,29.10196000000001,49.60196000000001,29.10196000000001,26.10196
1999-04-23,21.85096,21.85096,21.85096,21.85096,26.10196,29.10196000000001,26.10196,26.10196,26.10196,26.10196,29.10196000000001,29.10196000000001,26.10196,26.10196,26.10196,26.10196,26.10196,26.10196,29.10196000000001,31.10196000000001,26.10196,29.10196000000001,37.10196000000001,26.10196
1999-04-24,21.85096,19.90196,19.90196,19.90196,21.60196,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,24.10196,26.10196,24.10196,26.10196,21.85096,21.85096
1999-04-25,19.90196,19.90196,19.90196,19.89196,19.90196,19.90196,19.87396,19.87696,19.87696,19.87696,19.87696,19.87696,19.87696,19.87696,19.87696,19.87696,19.87696,19.87396,24.10196,25.60196,24.10196,25.60196,19.87396,21.60196
